Age,Gender,Major,Distance (km),Mode of Transportation,Traffic,Commute Time (min)
25,Male,CSE,11,Bus,High,200
25,Male,CSE,2,Walk,Low,20
25,Male,CSE,4,Bus,Medium,120
24,Female,CSE,4.3,Bus,High,120
25,Male,CSE,6,Bus,Medium,65
25,Male,CSE,9,Bus,Medium,90
25,Male,CSE,4,Bus,High,100
25,Male,CSE,16,Bus,High,220
25,Male,CSE,6,Bus,High,1
24,Male,CSE,2,Rickshaw,Medium,35
25,Male,CSE,5,Bus,Medium,60
25,Male,CSE,10,Car,High,75
25,Male,CSE,3,Bus,Medium,40
25,Male,EEE,6,Bike,High,90
27,Male,CSE,15,Bus,Medium,180
23,Male,CSE,11,Car,High,90
25,Male,CSE,7,Bus,High,200
26,Male,CSE,8.5,Bus,Medium,150
26,Male,CSE,5,Bus,High,4
23,Male,CS,5,Bus,Medium,60
25,Male,CSE,6,Bus,High,110
24,Female,CSE,3,Walk,Medium,25
25,Male,CSE,4,Bus,Low,80
25,Male,CSE,12,Bus,Medium,150
25,Male,CSE,5.5,Bike,High,100
26,Male,CSE,9,Car,Medium,120
27,Male,EEE,7,Bus,Medium,180
24,Male,CSE,3.5,Rickshaw,Medium,45
25,Male,CSE,10.5,Car,High,95
23,Female,CSE,8,Bus,Medium,130
28,Male,,12.1,Bus,High,181.5
20,Female,EEE,4,Bus,High,60
21,Female,CSE,10.2,Car,Medium,102
30,Male,Business,7.8,Bus,Medium,93.6
19,Male,EEE,12.9,Car,Low,90.3
26,Female,EEE,11.6,Bus,Medium,139.2
24,Male,Business,7.6,Bus,Low,53.2
18,Female,CSE,9.2,Car,Medium,92
18,Female,Engineering,7.9,Car,High,110.6
20,Female,EEE,9.8,Bus,Medium,117.6
28,Female,CSE,4.9,Bus,Medium,58.8
26,Male,EEE,11.7,Car,Low,81.9
29,Female,CSE,0.6,Walk,Low,6
19,Female,Business,4.9,Car,Low,34.3
22,Male,CSE,6.3,Car,Low,44.1
27,Female,CSE,6.3,Bus,Medium,75.6
23,Male,Business,9.7,Bus,Low,77.6
28,Male,EEE,2.6,Bus,Medium,31.2
22,Male,EEE,5,Car,High,70
25,Female,CSE,3.4,Car,Low,23.8
29,Female,EEE,9.2,Car,Medium,92
21,Female,CSE,1.4,Walk,Low,14
26,Male,CSE,6,Bus,Medium,72
27,Female,EEE,8.4,Car,High,117.6
25,Female,EEE,10.1,Bus,Low,80.8
28,Male,CSE,1.6,Walk,Low,16
29,Male,CSE,6.9,Car,High,96.6
28,Female,CSE,13,Bus,High,195
28,Female,Business,10.8,Bus,Medium,129.6
27,Male,CSE,7.6,Bus,Medium,91.2
28,Male,EEE,2.8,Car,Low,19.6
19,Female,Engineering,1.8,Rickshaw,Medium,27
19,Female,Business,0.6,Walk,Low,6
26,Female,EEE,4.8,Bus,High,72
28,Male,Business,13.1,Bus,Low,104.8
21,Female,Engineering,5.8,Bus,Low,46.4
18,Male,CSE,10.6,Car,Medium,106
24,Male,Business,11.5,Car,High,161
24,Male,CSE,1.7,Rickshaw,Low,20.4
20,Female,EEE,5.1,Bus,Medium,51
23,Male,EEE,5,Bus,Low,35
29,Male,Engineering,8.5,,Low,59.5
21,Male,Business,1.2,Rickshaw,High,21.6
27,Male,Business,10.9,Bus,Low,76.3
25,Female,Engineering,10.2,Bus,Low,71.4
26,Male,Business,3.3,Bus,Low,23.1
25,Male,Business,5.3,Bus,Low,42.4
22,Male,Business,7.7,Car,High,107.8
24,Male,CSE,7.4,,Low,59.2
24,Female,EEE,13.2,Car,High,184.8
27,Male,Business,14.9,Bus,Medium,178.8
24,Male,CSE,10.5,Car,Low,73.5
20,Male,CSE,1.1,Rickshaw,Medium,16.5
23,Female,EEE,11,Car,Low,77
18,Male,EEE,1.3,Walk,Low,13
27,Male,Business,1.5,Rickshaw,High,27
25,Female,Business,2.3,Bus,High,34.5
29,Male,CSE,6.5,Car,Medium,65
20,Male,EEE,8.3,Bus,Medium,99.6
25,Female,Engineering,6.7,,High,100.5
27,Male,CSE,10.6,Car,Medium,106
21,Female,Engineering,10,Car,Medium,100
28,Male,Engineering,1.4,Walk,Low,14
18,Male,Business,1.8,Walk,Low,18
20,Female,CSE,4.3,Bus,High,64.5
27,Male,Business,5,Bus,Low,35
26,Female,Engineering,6.8,Bus,High,95.2
18,Male,CSE,11.9,Bus,Low,95.2
24,Male,Engineering,11.8,Car,High,165.2
25,Male,Engineering,7.7,,High,115.5
29,Female,CSE,13,Bus,High,195
19,Female,EEE,8.5,Car,High,119
21,Female,CSE,12.5,Bus,Medium,150
22,Female,Engineering,10.7,Car,Medium,107
30,Male,EEE,14.1,Bus,Medium,169.2
28,Female,Engineering,4.6,Bus,High,69
24,Male,Engineering,4.2,,Medium,42
20,Male,CSE,8.4,Bus,Low,67.2
21,Male,CSE,5.6,Car,High,78.4
30,Female,CSE,6,Bus,Medium,72
22,Male,EEE,14.7,Car,High,205.8
23,Female,CSE,4.1,Bus,High,61.5
29,Male,EEE,5.7,Car,Medium,57
26,Female,Business,4.3,Car,Low,30.1
23,Female,CSE,14.1,Bus,Low,112.8
29,Male,EEE,10.4,Car,High,145.6
19,Male,Business,9.5,,Low,66.5
23,Female,CSE,2.2,Car,High,30.8
22,Female,CSE,9.4,Car,Medium,94
21,Male,EEE,9.8,Bus,Medium,117.6
27,Male,EEE,5.5,Bus,Medium,66
19,Male,Business,7.2,Bus,Medium,86.4
25,Female,CSE,7.7,Bus,Medium,77
29,Female,EEE,3.6,Bus,Low,25.2
22,Male,EEE,13.8,Bus,Medium,138
26,Male,EEE,14.5,Bus,Low,116
20,Female,Engineering,1.5,Rickshaw,Low,18
23,Female,Engineering,7,Car,Low,49
18,Female,Business,0.5,Rickshaw,High,9
25,Male,CSE,11.8,Car,High,165.2
19,Female,EEE,7.6,Car,Low,53.2
18,Female,Engineering,10.6,Car,High,148.4
25,Male,EEE,14.8,Bus,High,222
18,Male,CSE,7.5,Car,Low,52.5
30,Female,Business,6.5,Car,Medium,65
18,Female,EEE,11.1,Bus,High,166.5
23,Male,Business,7.5,Car,Low,52.5
24,Female,Business,4,Car,Low,28
25,Male,EEE,8,Bus,Low,64
28,Female,Business,10.3,Car,High,144.2
22,Female,Engineering,8.7,Car,Medium,87
18,Male,EEE,10.5,Bus,High,157.5
23,Female,Engineering,11.3,Bus,High,169.5
29,Male,EEE,13.4,Car,Medium,134
29,Male,CSE,7.1,,Medium,85.2
22,Female,Engineering,7.8,Bus,Low,62.4
19,Female,Engineering,14.8,Bus,Medium,177.6
29,Male,Engineering,11.3,Car,High,158.2
21,Male,Business,6.9,Car,Low,48.3
23,Male,CSE,1,Bike,Low,20
23,Female,CSE,0.2,Walk,Low,720
22,Male,CSE,0.5,Walk,Low,5
20,Male,CSE,30,Bus,Low,120
23,Female,CSE,1,Walk,Low,30
25,Male,BBA,12,Bus,High,200
20,Male,CSE,20,Bus,High,80
20,Male,CSE,22,Bus,Medium,1
20,Male,CSE,1,,Low,4
25,Male,ME,10,Bus,Medium,80
20,Male,CSE,25,Bus,Medium,480
24,Female,BBA,3,Rickshaw,Low,40
25,Male,CSE,0.25,Walk,Low,150
28,Male,CSE,15,Bus,High,
26,Male,CSE,2.5,,Low,
28,Male,CSE,2,Bus,High,4
28,Female,CSE,22,Bus,High,240
22,Male,CSE,33,Bus,Medium,120
24,Male,CSE,0.5,Walk,Low,10
23,Male,CSE,0.5,Walk,Low,2
26,Male,CSE,2,Rickshaw,Medium,6
24,Male,CSE,35,Walk,Low,10
24,Male,CSE,1,Walk,Low,20
21,Male,CSE,0.5,Walk,Low,6
27,Male,CSE,0.2,Walk,Low,10
28,Female,MBBS,2,Rickshaw,Medium,20
23,Male,CSE,0.2,Walk,Low,20
23,Female,CSE,25.3,Bus,Low,630
36,Male,ME,50,Car,Low,120
26,Male,IT,2,Walk,Low,60
26,Male,CSE,8,Bus,Medium,3
32,Male,ME,0.5,Walk,Low,60
26,Female,IT,7,Bus,Medium,150
45,Other,Engineering,29.8,Bus,High,129
22,Other,Computer Science,31.3,Bike,Medium,103
53,Other,Engineering,29.9,Bike,Medium,120
21,Other,Business,5.6,Bus,Medium,21
27,Other,Biology,12.4,Walk,High,58
38,Other,Business,16.9,Bike,High,80
35,Female,Business,8.8,Bus,High,49
55,Male,Computer Science,23.2,Bus,Low,62
23,Male,Engineering,49.9,Walk,High,217
29,Male,Business,19,Bike,Medium,67
30,Other,Biology,42.9,Car,High,198
50,Female,Biology,2.1,Car,Medium,8
20,Other,Business,40.5,Car,Medium,128
21,Male,Business,9.5,Walk,High,44
47,Female,Engineering,41.1,Bus,Medium,139
35,Female,Computer Science,5.7,Walk,Low,16
36,Female,Business,40,Bus,Low,117
32,Female,Biology,36.4,Bike,Low,100
50,Other,Mathematics,22,Car,Medium,80
41,Other,Biology,40.2,Walk,High,193
24,Female,Mathematics,4.1,Walk,High,22
20,Male,Biology,11.2,Bike,Medium,37
54,Male,Mathematics,28.5,Car,High,170
23,Other,Engineering,19.7,Bus,High,87
60,Other,Mathematics,18,Walk,Medium,67
56,Male,Biology,1.5,Car,Low,3
57,Male,Business,36.9,Walk,Low,99
18,Female,Engineering,4.8,Bus,Low,12
28,Female,Biology,39.9,Bike,Medium,125
54,Female,Computer Science,47.6,Car,Low,96
20,Other,Business,3.7,Car,High,19
19,Other,Biology,20.6,Walk,Medium,72
32,Female,Mathematics,6.4,Car,High,33
58,Other,Engineering,33.4,Car,High,200
33,Male,Biology,9.8,Car,Medium,39
56,Female,Computer Science,48.7,Bike,High,288
35,Female,Mathematics,5.3,Walk,Medium,16
37,Other,Biology,11,Bike,Medium,42
22,Male,Business,39.6,Bus,Medium,147
35,Male,Business,5.4,Bus,Medium,20
47,Male,Computer Science,40.9,Bike,Low,102
58,Male,Computer Science,43.3,Bus,Medium,142
60,Male,Business,49.4,Walk,High,237
24,Other,Biology,49.6,Bike,Medium,159
29,Female,Engineering,27.7,Bike,Low,82
55,Male,Business,26,Walk,Low,52
34,Other,Biology,19.6,Bus,High,82
29,Female,Engineering,7.4,Car,Medium,25
40,Other,Biology,38.5,Car,Low,88
21,Female,Engineering,14.7,Bus,High,86
18,Male,Business,45,Bus,Low,127
27,Female,Business,25.1,Bike,High,128
57,Male,Computer Science,25,Bus,High,112
39,Male,Business,30.6,Walk,Medium,98
39,Male,Mathematics,34.8,Bike,High,194
44,Female,Biology,47.2,Car,Low,136
19,Other,Biology,18.4,Bus,Medium,61
30,Other,Engineering,10.6,Walk,Medium,34
23,Male,Mathematics,15.6,Car,Medium,60
24,Male,Engineering,5.6,Bike,High,33
30,Other,Business,6,Car,Medium,22
23,Other,Business,35.6,Walk,Low,74
48,Other,Mathematics,40.1,Walk,High,220
38,Male,Engineering,46.2,Bike,High,223
27,Female,Computer Science,46.9,Bike,High,273
24,Other,Engineering,8.4,Car,High,42
25,Female,Mathematics,4.3,Bike,High,20
53,Female,Biology,5.4,Walk,Medium,18
43,Female,Computer Science,5.4,Walk,Low,15
33,Other,Biology,8,Bus,Low,20
21,Female,Business,1.3,Bike,High,8
38,Female,Computer Science,31.6,Bike,Medium,105
58,Other,Engineering,41.7,Car,Low,111
18,Male,Computer Science,5.8,Walk,High,30
26,Male,Computer Science,39.8,Bus,Medium,157
49,Female,Engineering,23.5,Walk,Low,65
50,Other,Business,34.1,Walk,High,200
50,Other,Biology,39.7,Walk,High,204
30,Female,Engineering,47.4,Walk,Low,118
20,Female,Business,32.1,Walk,Low,87
56,Other,Mathematics,5,Bus,Medium,18
37,Male,Business,48.7,Bike,Medium,193
26,Male,CSE,10,Bus,Medium,119
25,Male,CSE,4,Bus,Medium,173
26,Male,CSE,9,Bus,Low,76
25,Female,EEE,4,Bus,Low,126
25,Female,EEE,8,Bus,High,197
25,Male,CSE,9,Bus,Medium,197
26,Male,EEE,8,Bus,Medium,127
25,Male,EEE,6,Bus,Low,182
26,Female,EEE,10,Bus,Medium,79
25,Female,CSE,8,Bus,Medium,65
26,Male,EEE,9,Bus,High,182
26,Female,EEE,11,Bus,Low,76
26,Female,CSE,6,Bus,High,182
26,Male,EEE,9,Bus,High,243
25,Male,CSE,11,Bus,Low,218
25,Female,CSE,8,Bus,Medium,76
26,Male,CSE,4,Bus,Low,98
25,Male,EEE,4,Bus,Medium,169
26,Male,EEE,6,Bus,Low,182
25,Female,CSE,4,Bus,Medium,73
25,Male,CSE,5,Bus,High,129
26,Female,CSE,6,Bus,Low,134
25,Female,EEE,9,Bus,Medium,198
26,Male,CSE,4,Bus,Low,113
26,Female,EEE,4,Bus,High,111
25,Female,EEE,6,Bus,High,228
26,Male,EEE,11,Bus,Low,126
25,Male,EEE,8,Bus,High,105
26,Male,CSE,4,Bus,High,182
26,Female,EEE,6,Bus,Medium,76
25,Male,CSE,4,Bus,Low,66
26,Male,EEE,5,Bus,High,197
26,Female,EEE,11,Bus,Low,86
25,Male,CSE,7,Bus,High,136
26,Male,EEE,4,Bus,Low,173
25,Female,CSE,9,Bus,Low,77
25,Male,CSE,6,Bus,Low,80
26,Male,EEE,6,Bus,High,80
25,Male,CSE,11,Bus,Low,111
25,Female,EEE,7,Bus,High,210
26,Male,EEE,5,Bus,High,76
25,Female,EEE,7,Bus,Low,201
25,Female,CSE,6,Bus,High,148
25,Male,CSE,9,Bus,Low,240
25,Female,EEE,5,Bus,Medium,67
26,Female,CSE,6,Bus,High,153
26,Female,EEE,7,Bus,High,107
26,Female,EEE,7,Bus,Low,76
25,Male,EEE,10,Bus,Low,111
26,Female,EEE,9,Bus,High,87
26,Male,EEE,8,Bus,High,75
25,Male,CSE,9,Bus,High,177
26,Female,EEE,6,Bus,Medium,153
26,Female,EEE,4,Bus,Low,214
25,Female,EEE,9,Bus,Low,175
26,Female,CSE,6,Bus,Low,116
25,Male,CSE,6,Bus,Low,77
25,Female,CSE,4,Bus,High,65
25,Female,EEE,6,Bus,High,135
25,Male,EEE,7,Bus,High,129
26,Female,EEE,7,Bus,High,145
25,Male,CSE,8,Bus,Medium,126
26,Female,EEE,8,Bus,High,166
25,Female,CSE,8,Bus,High,145
26,Female,CSE,10,Bus,Low,72
25,Female,CSE,4,Bus,Medium,76
26,Male,EEE,5,Bus,Low,243
25,Male,EEE,10,Bus,Low,107
25,Female,EEE,4,Bus,Low,135
25,Female,CSE,7,Bus,High,204
26,Male,CSE,10,Bus,Medium,201
25,Male,EEE,5,Bus,High,182
26,Female,EEE,10,Bus,Medium,227
26,Female,CSE,8,Bus,Low,243
26,Female,EEE,10,Bus,Medium,173
26,Male,EEE,8,Bus,Low,145
26,Female,CSE,9,Bus,Low,76
25,Female,EEE,8,Bus,High,184
26,Male,EEE,10,Bus,Medium,188
26,Male,CSE,6,Bus,Low,131
26,Male,CSE,8,Bus,High,98
26,Male,EEE,11,Bus,Medium,76
26,Male,CSE,6,Bus,High,196
25,Male,EEE,10,Bus,Low,67
26,Female,CSE,9,Bus,High,227
25,Female,EEE,10,Bus,High,178
25,Male,CSE,8,Bus,Medium,126
26,Female,CSE,8,Bus,High,145
26,Female,CSE,4,Bus,Low,131
25,Female,CSE,7,Bus,Medium,77
25,Female,EEE,4,Bus,Medium,113
26,Male,CSE,10,Bus,Low,131
25,Female,CSE,10,Bus,Low,67
25,Female,CSE,6,Bus,High,131
25,Male,CSE,11,Bus,High,182
26,Female,CSE,10,Bus,Medium,243
26,Female,EEE,8,Bus,High,131
25,Male,EEE,4,Bus,High,148
26,Female,EEE,9,Bus,Medium,72
26,Male,CSE,10,Bus,Low,153
24,Female,Agriculture ,0.3,Walk,Low,18
21,Male,Bss,11,Bus,Medium,60
25,Male,CSE,1,Walk,Low,30
25,Male,BBA,23,Bus,Low,120
25,Male,EEE,1,Walk,Low,12
20,Female,Arts,5,Rickshaw ,Medium,18
25,Female,CSE,0.5,Walk,Low,3
26,Male,EEE,3,Walk,Medium,20
25,Male,Education ,3,Rickshaw ,Medium,60
26,Male,Education ,2,Walk,Low,60
24,Male,BA,25,Bus,Medium,420
21,Male,CSE,2,Walk,Low,120
23,Male,CSE,0.4,Walk,Low,120
22,Male,CSE,1,Rickshaw ,Low,18
22,Male,CSE,1,Walk,Low,18
27,Male,CSE,1,Walk,Medium,18
22,Male,CSE,1,Bicycle,Low,210
19,Male,CSE,1,Walk,Low,30
21,Male,CSE,1,Walk,Low,24
22,Male,CSE,1.5,Cycle ,Low,60
23,Male,CSE,1,Cycle,Low,12
22,Male,CSE,2,Walk,Low,30
22,Male,CSE,2,Walk,Low,24
21,Male,CSE,0.3,Walk,Low,30
22,Male,CSE,1,Walk,Low,30
22,Male,CSE,2,Walk,Low,90
23,Male,CSE,0.5,Walk,Low,24
21,Female,CSE,0.5,Walk,Low,30
23,Male,CSE,0.25,Walk,Low,60
23,Male,CSE,2,Rickshaw,Low,60
21,Female,CSE,1.4,Walk,Medium,27
23,Male,CSE,1,Walk,Low,120
24,Male,CSE,2,Walk,Low,30
21,Male,CSE,1,Riskha,Low,60
23,Female,CSE,3,Autorickshaw ,Low,20
22,Female,CSE,0.07,Walk,Low,15
23,Male,CSE,4,Walk,Low,60
23,Male,CSE,1,Rickshaw,Low,30
22,Male,CSE,1,Walk,Low,19.8
22,Male,CSE,3,Walk,Low,60
22,Male,CSE,17,Bus,Low,150
22,Male,CSE,1,Walk,Low,12
23,Male,CSE,1,Walk,Low,18
26,Male,CSE,5,Bike,Medium,90
20,Female,CSE,1,AutoRicshaw,Low,15
23,Male,CSE,1,Walk,Low,600
21,Female,CSE,4.8,Autorickshaw,Medium,60
24,Male,CSE,0.1,Walk,Low,15
24,Male,CSE,1,Walk,Low,60
24,Male,CSE,1,Walk,Medium,90
23,Male,CSE,1,Walk,Low,120
23,Male,CSE,7,Bus,Medium,18
25,Male,CSE,2,Rickshaw,Low,420
22,Female,CSE,2.5,Bus,Low,60
22,Male,CSE,1,Walk,Low,15
22,Male,CSE,0.5,Walk,Low,60
23,Male,CSE,0.8,Cycle,Low,30
25,Female,CSE,1.5,Walk,Low,300
24,Male,CE,5,Bike,Medium,180
21,Male,CE,25,Bus,High,270
24,Male,CSE,6,Bus,Low,60
23,Male,CSE,2,Walk,Medium,60
24,Male,CSE,1.5,Walk,Medium,60
22,Male,CE,1,Walk,Low,6
21,Female,Other,3.5,Rickshaw ,Low,7.5
25,Female,CE,2.3,Bike,Low,15
20,Female,Ag,13,Bus,Medium,120
20,Male,CSE,8,Bus,High,90
19,Female,BBA,2.8,Bus,Low,60
21,Male,CE,17,Bus,Medium,180
21,Male,CSE,1.5,Walk,Low,30
24,Male,CSE,2,Walk,Low,120
21,Male,BSAg,0.5,Walk,Low,6
21,Male,CE,1.1,Walk,Low,12
21,Male,Agriculture ,1,Walk,Low,480
25,Male,CSE,2,Walk,High,18
22,Female,CSE,20,Bus,Medium,210
24,Male,CSE,0.7,Walk,Low,15
26,Male,CSE,1,Walk,Low,40
25,Male,CSE,0.7,Walk,Low,30
26,Male,CSE,1,Walk,Low,30
21,Female,BSAg,5,Bus,High,180
25,Female,CE,1,Rickshaw ,Low,12
27,Male,CSE,6,Bus,High,27
20,Male,CE,6,Bus,Medium,60
21,Female,Bsag,0.2,Walk,Low,60
19,Female,BBA,6.8,Bus,Medium,30
23,Male,CE,0.4,Walk,Low,300
26,Male,CSE,3,Bus,Medium,90
20,Male,CSE,1.4,Walk,Low,30
21,Male,CSE,1,Walk,Low,24
21,Male,CSE,1,Walk,Medium,60
21,Male,CSE,3,Bus,Low,540
20,Female,CSE,1,Cycle,Low,18
20,Male,CSE,1,Walk,Low,60
21,Female,Agricultural ,1.2,Walk,Low,150
21,Male,CSE,1,Walk,Low,24
21,Male,CSE,1.2,Walk,Medium,30
22,Male,CSE,0.5,Walk,Low,20
21,Male,CSE,2.5,Bus,Low,360
22,Male,CE,18,Bike,High,240
23,Male,CSE,0.5,Walk,Low,30
28,Male,CSE,0,Walk,Low,6
20,Female,Agriculture,2,Walk,Medium,120
22,Female,CSE,5,Bus,High,420
20,Male,BSAg ,1,Walk,Low,78
22,Male,CE,0.5,Walk,Medium,60
25,Male,CSE,6,Bus,Medium,120
21,Male,BSAg,15,Bus,Medium,120
34,Male,EEE,3,Bike,Medium,480
26,Male,CE,1,Walk,Low,600
19,Female,CSE,2,Rickshaw,Low,60
22,Female,BSAg,30,Bus,High,240
23,Male,CE,10,Bus,High,780
23,Female,BSAg,5,Bus,Medium,120
19,Male,CSE,2,Walk,Low,30
20,Male,CE,2,Bus,High,36
23,Male,CSE,2,Bus,High,120
23,Male,CE,2,Bus,Medium,30
20,Female,CSE,3,Bus,Low,480
21,Male,CSE,3,Walk,Low,120
25,Male,CSE,0.3,Walk,Low,12
22,Male,CSE,1,Walk,Low,15
20,Male,CSE,1.5,Walk,,30
21,Male,CSE,2.5,bicycle ,Low,24
21,Male,CE,4.5,Bus,Medium,30
20,Male,CSE,2,Rickshaw ,Low,30
21,Male,CSE,1.3,Walk,Low,72
20,Male,CSE,3,Walk,Medium,30
22,Male,CSE,2,Walk,Low,60
26,Male,CSE,3,Car,Medium,180
24,Male,CE,3,Walk,Low,120
22,Male,CSE,5,Rickshaw ,Medium,60
21,Male,CSE,1.5,Walk,Low,12
26,Male,CSE,1,Walk,Low,90
25,Male,CSE,2,Rickshaw ,Low,15
25,Male,CSE,7,Bus,High,120
26,Male,CSE,8.5,Bus,Medium,150
27,Male,CSE,7.3,Walk,Medium,150
24,Female,EEE,8,Bike,High,55
26,Male,CSE,17,Car,Medium,191
27,Female,CSE,6,Car,High,40
29,Male,CSE,5,Rickshaw,Low,91
23,Male,CSE,14.9,Bus,Medium,146
21,Female,CSE,14,Bus,High,206
20,Female,CSE,8.1,Bus,Medium,176
26,Female,CSE,12.8,Bus,High,233
21,Male,CSE,6.6,Bus,Medium,129
28,Female,CSE,16,Bus,High,223
23,Male,CSE,10,Bike,Medium,123
24,Male,CSE,13,Bus,Medium,136
20,Female,CSE,5.8,Bus,High,133
23,Female,CSE,19,Car,Medium,238
28,Male,CSE,8.7,Bus,High,188
29,Female,CSE,7,Bus,Medium,113
22,Male,EEE,10,Bus,High,182
22,Female,CSE,11,Bus,Medium,117
21,Female,CSE,14,Bus,Medium,167
25,Male,CSE,10,Bus,Medium,122
21,Male,CSE,8,Bus,High,101
23,Female,CSE,12,Bus,Medium,131
26,Male,CSE,6,Bus,High,127
23,Male,CSE,14,Car,Medium,138
21,Female,CSE,14,Bus,Medium,171
24,Male,CSE,8,Bus,High,107
21,Male,CSE,13,Bus,Medium,161
29,Female,CSE,10,Bus,High,156
24,Female,CSE,15,Bus,Medium,196
28,Male,CSE,19,Bike,High,246
29,Female,CSE,14,Bus,Medium,141
26,Male,CSE,11,Bus,High,211
26,Female,Physics,1,Walk,Low,35
27,Male,Social Work,1.6,Walk,Medium,30
26,Male, URP,4,Bike,Medium,20
26,Female,nuclear engineering,25,Bus,High,120
26,Female,Chemistry ,1.5,Rickshaw ,Medium,20
25,Male,CSE,3.7,Bus,Medium,44.4
27,Male,CSE,10.3,Bus,High,154.5
30,Female,EEE,10.8,Bus,Low,86.4
28,Female,EEE,14,Car,Medium,140
20,Male,Engineering,11.7,Car,Medium,117
26,Male,Engineering,6.9,Bus,Medium,82.8
22,Female,EEE,6.9,Car,Low,48.3
